"DONNEES - Effectifs des médecins"
"ANNEE - 2018"
"SEXE - Ensemble tous sexes confondus"

,ZONE INSCRIPT,"FRANCE ENTIERE","FRANCE Métropolitaine","DROM","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Guadeloupe","Guyane","Hauts-de-France","Ile-de-France","La Réunion","Martinique","Mayotte","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d’Azur","01 - Ain","02 - Aisne","03 - Allier","04 - Alpes-de-Haute-Provence","05 - Hautes-Alpes","06 - Alpes-Maritimes","07 - Ardèche","08 - Ardennes","09 - Ariège","10 - Aube","11 - Aude","12 - Aveyron","13 - Bouches-du-Rhône","14 - Calvados","15 - Cantal","16 - Charente","17 - Charente-Maritime","18 - Cher","19 - Corrèze","2A - Corse-du-Sud","2B - Haute-Corse","21 - Côte-d’Or","22 - Côtes-d’Armor","23 - Creuse","24 - Dordogne","25 - Doubs","26 - Drôme","27 - Eure","28 - Eure-et-Loir","29 - Finistère","30 - Gard","31 - Haute-Garonne","32 - Gers","33 - Gironde","34 - Hérault","35 - Ille-et-Vilaine","36 - Indre","37 - Indre-et-Loire","38 - Isère","39 - Jura","40 - Landes","41 - Loir-et-Cher","42 - Loire","43 - Haute-Loire","44 - Loire-Atlantique","45 - Loiret","46 - Lot","47 - Lot-et-Garonne","48 - Lozère","49 - Maine-et-Loire","50 - Manche","51 - Marne","52 - Haute-Marne","53 - Mayenne","54 - Meurthe-et-Moselle","55 - Meuse","56 - Morbihan","57 - Moselle","58 - Nièvre","59 - Nord","60 - Oise","61 - Orne","62 - Nord-Pas-de-Calais","63 - Puy-de-Dôme","64 - Pyrénées-Atlantiques","65 - Hautes-Pyrénées","66 - Pyrénées-Orientales","67 - Bas-Rhin","68 - Haut-Rhin","69 - Rhône","70 - Haute-Saône","71 - Saône-et-Loire","72 - Sarthe","73 - Savoie","74 - Haute-Savoie","75 - Paris","76 - Seine-Maritime","77 - Seine-et-Marne","78 - Yvelines","79 - Deux-Sèvres","80 - Somme","81 - Tarn","82 - Tarn-et-Garonne","83 - Var","84 - Vaucluse","85 - Vendée","86 - Vienne","87 - Haute-Vienne","88 - Vosges","89 - Yonne","90 - Territoire de Belfort","91 - Essonne","92 - Hauts-de-Seine","93 - Seine-Saint-Denis","94 - Val-de-Marne","95 - Val-d’Oise","971 - Guadeloupe","972 - Martinique","973 - Guyane","974 - La Réunion","976 - Mayotte"
"Spécialistes","Autres salariés",11720,11491,229,1316,405,511,300,40,815,51,18,970,3285,103,52,5,405,914,1069,487,974,63,50,28,24,29,214,39,47,18,35,54,30,466,96,12,41,78,37,27,22,18,129,69,16,45,86,95,42,30,131,111,326,20,333,296,215,19,93,193,25,44,35,130,20,220,86,22,47,13,102,64,80,19,26,152,13,96,116,23,658,70,32,136,133,124,35,76,211,109,446,27,69,72,55,102,1473,171,152,218,27,56,51,17,156,85,67,68,64,33,27,19,176,499,310,296,161,51,52,18,103,5
"Anatomie et cytologie pathologiques","Ensemble des modes d'exercice",1657,1632,25,208,48,68,47,6,120,8,1,99,416,10,6,0,67,147,168,73,165,3,5,2,3,2,50,0,2,0,9,6,2,70,20,1,3,9,4,4,3,3,19,5,1,5,15,11,4,2,19,18,70,2,61,42,30,1,23,33,1,6,5,24,1,36,12,3,7,1,20,4,24,0,2,22,0,14,17,1,61,8,4,11,27,17,6,9,26,16,85,0,4,10,11,10,216,35,13,23,4,14,2,7,25,15,5,13,17,4,2,6,16,54,17,56,21,8,6,1,10,0
"Anatomie et cytologie pathologiques","Libéraux exclusifs",599,589,10,83,19,41,16,3,48,2,0,34,65,7,1,0,24,59,83,25,89,0,1,2,2,2,25,0,0,0,3,6,1,33,8,1,1,5,2,2,1,2,4,4,0,4,7,5,2,1,9,10,30,2,21,14,19,1,7,14,1,2,2,10,1,13,3,3,5,1,6,1,11,0,2,7,0,9,10,1,17,2,2,6,10,11,3,6,8,6,27,0,3,3,4,9,36,11,3,8,1,8,2,5,19,8,1,3,4,3,2,1,7,6,2,0,3,2,1,0,7,0
"Anatomie et cytologie pathologiques","Mixtes",165,163,2,14,9,2,1,1,19,0,0,9,58,1,1,0,10,14,10,4,12,0,0,0,0,0,3,0,1,0,0,0,0,7,2,0,0,1,0,1,0,1,4,0,0,0,1,0,0,0,1,2,5,0,6,3,1,0,0,4,0,0,0,2,0,1,1,0,0,0,2,1,1,0,0,3,0,0,5,0,4,4,2,0,1,0,0,0,8,0,7,0,1,1,0,0,34,5,3,3,0,1,0,0,0,2,0,2,4,1,0,3,1,11,0,5,1,0,1,0,1,0
"Anatomie et cytologie pathologiques","Salariés hospitaliers",841,828,13,101,20,23,30,2,50,6,1,50,276,2,4,0,33,68,69,43,63,3,4,0,0,0,22,0,1,0,6,0,1,30,10,0,2,3,2,1,2,0,11,0,1,1,7,6,2,1,9,6,32,0,31,22,10,0,16,14,0,4,3,12,0,21,8,0,2,0,12,2,12,0,0,12,0,4,2,0,35,2,0,4,15,3,3,3,8,9,44,0,0,6,7,0,140,19,6,12,3,5,0,2,6,5,4,8,9,0,0,2,7,33,14,50,14,6,4,1,2,0
"Anatomie et cytologie pathologiques","Autres salariés",52,52,0,10,0,2,0,0,3,0,0,6,17,0,0,0,0,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,3,0,0,2,1,7,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,0,0
"Anesthésie-réanimation","Ensemble des modes d'exercice",11497,11181,316,1500,398,515,299,48,928,50,25,864,2362,169,64,8,452,1003,1108,541,1163,38,40,42,15,37,290,33,24,17,27,50,25,560,131,18,34,81,21,23,27,21,110,71,7,31,103,58,27,38,129,125,337,8,385,307,203,24,113,227,22,41,31,151,17,270,72,19,42,8,135,46,104,22,21,174,11,112,150,15,492,63,30,157,147,145,39,78,274,107,564,19,71,63,74,131,1088,218,103,163,37,112,55,40,175,86,52,87,90,35,30,28,133,338,154,268,115,50,64,25,169,8
"Anesthésie-réanimation","Libéraux exclusifs",3832,3748,84,484,112,171,99,23,255,14,6,263,646,48,16,0,145,382,459,207,502,17,12,12,7,10,117,18,7,1,15,17,1,248,45,6,20,32,7,10,11,12,29,30,3,14,23,19,10,11,45,47,168,3,147,120,66,11,33,65,8,15,11,33,4,99,26,2,15,2,53,15,35,6,8,48,2,30,42,11,150,14,2,59,36,76,10,45,61,29,201,3,22,30,28,45,225,73,33,69,10,28,17,26,78,42,17,17,23,10,9,7,58,105,51,63,42,14,16,6,48,0
"Anesthésie-réanimation","Mixtes",767,756,11,101,31,29,17,3,91,1,1,86,128,4,5,0,19,67,81,39,64,5,10,8,0,2,26,2,0,1,1,3,5,19,4,0,1,3,3,0,2,1,6,3,0,3,6,0,1,2,5,10,15,0,30,38,15,0,7,17,1,6,2,10,0,23,3,0,7,1,3,1,3,4,3,11,4,6,6,0,35,6,2,23,7,9,0,4,31,29,39,0,12,4,4,9,51,11,10,12,4,12,3,1,7,10,6,2,2,2,2,4,12,16,11,8,8,1,5,1,4,0
"Anesthésie-réanimation","Salariés hospitaliers",6454,6244,210,864,237,287,168,21,560,32,18,475,1504,113,39,8,267,505,523,278,555,15,18,19,8,21,137,11,16,12,11,27,14,274,78,12,10,45,10,12,14,7,71,34,4,12,71,36,15,25,77,67,145,5,192,138,110,11,71,138,12,16,16,103,11,145,35,16,17,3,76,21,62,9,8,113,5,66,98,3,271,42,25,72,95,54,28,24,177,47,312,14,32,23,40,72,766,128,58,73,19,72,32,12,82,33,26,63,61,22,17,17,59,211,85,191,61,32,39,18,113,8
"Anesthésie-réanimation","Autres salariés",444,433,11,51,18,28,15,1,22,3,0,40,84,4,4,0,21,49,45,17,42,1,0,3,0,4,10,2,1,3,0,3,5,19,4,0,3,1,1,1,0,1,4,4,0,2,3,3,1,0,2,1,9,0,16,11,12,2,2,7,1,4,2,5,2,3,8,1,3,2,3,9,4,3,2,2,0,10,4,1,36,1,1,3,9,6,1,5,5,2,12,2,5,6,2,5,46,6,2,9,4,0,3,1,8,1,3,5,4,1,2,0,4,6,7,6,4,3,4,0,4,0
"Biologie médicale","Ensemble des modes d'exercice",3018,2943,75,311,110,126,100,12,222,20,11,200,804,33,10,1,113,265,250,137,293,9,10,8,5,8,87,4,6,5,7,14,6,139,31,3,6,25,7,11,10,2,32,11,3,13,26,9,8,15,44,32,67,4,92,82,52,4,39,67,4,17,12,33,5,52,23,2,8,1,44,11,37,5,7,45,1,19,36,6,117,19,6,28,41,38,6,14,55,19,101,6,22,16,7,24,331,57,40,57,9,26,12,5,37,17,18,21,22,11,9,5,39,89,67,120,61,20,10,11,33,1
"Biologie médicale","Libéraux exclusifs",1154,1131,23,104,37,39,46,10,90,4,2,74,266,15,1,1,41,111,117,54,142,5,4,4,3,3,43,2,2,4,5,6,3,52,10,0,4,14,4,5,9,1,5,4,2,7,5,4,4,7,12,17,29,2,38,32,13,3,12,25,1,8,7,13,2,22,13,1,2,0,13,6,14,1,3,13,1,10,21,4,33,12,2,20,13,22,2,10,18,8,24,3,12,7,5,7,67,19,21,26,4,5,8,3,28,13,9,2,3,7,5,2,24,31,32,34,31,4,1,2,15,1
"Biologie médicale","Mixtes",64,64,0,5,4,2,3,0,8,0,0,2,25,0,0,0,3,4,3,0,5,0,0,0,0,0,1,1,1,0,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,2,1,1,1,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,4,0,0,0,1,0,0,0,11,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,1,3,0,0,0,0,0
"Biologie médicale","Salariés hospitaliers",1279,1247,32,134,50,54,36,1,97,7,6,95,385,13,6,0,55,95,85,56,104,1,5,4,0,3,36,0,1,1,2,3,2,57,17,3,2,6,2,4,0,1,22,3,1,3,15,3,3,7,19,13,26,2,35,33,27,0,18,31,1,4,2,13,1,17,7,0,1,1,27,4,20,2,3,26,0,5,11,1,62,5,2,6,20,7,3,0,26,6,48,2,7,5,2,8,205,29,10,23,2,17,1,0,6,2,4,15,15,3,0,2,9,39,19,63,17,7,6,6,13,0
"Biologie médicale","Autres salariés",521,501,20,68,19,31,15,1,27,9,3,29,128,5,3,0,14,55,45,27,42,3,1,0,2,2,7,1,2,0,0,5,1,26,3,0,0,5,1,1,1,0,4,4,0,3,5,2,0,1,12,2,12,0,19,15,11,0,8,10,1,4,3,5,2,13,2,1,5,0,4,1,2,2,1,4,0,4,4,1,21,2,2,1,7,8,1,4,7,5,29,1,2,4,0,9,48,8,5,8,3,4,2,2,3,2,5,3,4,1,4,1,6,16,13,22,10,9,3,3,5,0
"Cardiologie et maladies vasculaires","Ensemble des modes d'exercice",7175,7025,150,777,236,309,229,38,576,30,7,562,1692,82,29,2,276,667,636,280,747,29,40,33,15,13,180,21,15,11,20,36,27,343,96,13,26,71,19,27,14,24,65,51,8,27,46,52,22,40,86,71,185,7,244,133,107,14,89,125,16,32,24,72,8,138,43,15,29,6,68,31,58,11,14,92,12,65,101,13,277,51,17,128,71,88,21,51,152,86,243,10,41,30,31,79,634,110,105,153,27,66,36,37,135,61,30,49,39,29,30,15,136,220,161,185,98,30,29,7,82,2
"Cardiologie et maladies vasculaires","Libéraux exclusifs",3202,3124,78,320,74,106,108,24,259,14,3,211,625,48,12,1,118,312,384,124,459,16,6,10,5,5,110,10,9,3,8,21,15,214,31,4,8,24,8,9,10,14,19,12,1,13,20,22,15,13,30,42,118,5,129,79,39,3,48,53,4,18,11,23,5,71,25,5,16,2,27,13,22,4,2,31,1,25,49,4,113,17,8,53,33,63,14,32,73,45,101,4,12,17,11,32,174,51,52,85,11,22,21,27,90,35,7,11,9,17,6,5,75,82,71,44,42,14,12,3,48,1
"Cardiologie et maladies vasculaires","Mixtes",1802,1786,16,211,78,83,51,9,159,6,1,159,474,5,4,0,78,152,99,66,167,7,20,16,8,6,42,9,4,1,6,5,3,75,35,4,10,26,10,9,3,6,21,15,2,4,14,12,3,16,24,14,22,0,45,29,29,1,10,31,6,8,4,28,1,25,10,4,2,2,13,7,17,1,8,35,7,15,26,7,69,17,4,36,20,10,0,13,38,20,46,1,10,5,11,26,177,29,30,38,7,17,5,1,19,17,15,21,8,5,13,6,28,63,50,66,22,6,4,1,5,0
"Cardiologie et maladies vasculaires","Salariés hospitaliers",1969,1915,54,232,79,111,66,5,148,9,3,162,514,28,13,1,77,187,138,85,111,5,14,7,2,2,25,2,2,6,6,10,6,49,29,5,7,19,1,9,1,4,24,18,5,10,10,17,4,10,31,15,40,2,61,22,37,10,30,40,5,6,8,18,2,38,7,6,11,1,28,10,18,6,4,25,2,25,24,2,72,15,5,34,17,12,6,6,37,21,91,5,19,8,9,19,235,29,22,26,9,27,9,9,25,8,7,17,21,7,11,3,31,61,37,69,33,9,13,3,28,1
"Cardiologie et maladies vasculaires","Autres salariés",202,200,2,14,5,9,4,0,10,1,0,30,79,1,0,0,3,16,15,5,10,1,0,0,0,0,3,0,0,1,0,0,3,5,1,0,1,2,0,0,0,0,1,6,0,0,2,1,0,1,1,0,5,0,9,3,2,0,1,1,1,0,1,3,0,4,1,0,0,1,0,1,1,0,0,1,2,0,2,0,23,2,0,5,1,3,1,0,4,0,5,0,0,0,0,2,48,1,1,4,0,0,1,0,1,1,1,0,1,0,0,1,2,14,3,6,1,1,0,0,1,0
"Chirurgie générale","Ensemble des modes d'exercice",3563,3495,68,432,125,125,110,12,331,13,8,362,822,23,21,3,169,281,269,144,313,11,18,12,3,7,90,20,18,6,13,13,13,151,46,5,5,26,12,14,6,6,43,11,5,6,30,15,12,16,48,34,75,1,99,75,46,11,44,59,8,6,10,53,4,66,17,7,10,2,40,20,52,9,11,64,5,20,31,6,209,24,8,64,44,29,9,12,92,33,161,5,13,21,24,24,373,83,41,52,13,47,13,9,38,24,6,30,38,14,12,8,45,116,60,95,40,13,21,8,23,3
"Chirurgie générale","Libéraux exclusifs",905,886,19,125,21,24,26,6,68,2,1,73,188,9,7,0,57,78,83,37,100,2,2,5,0,2,29,14,4,1,7,4,4,39,14,3,2,8,6,2,2,4,5,4,1,2,3,5,2,3,10,8,25,0,23,20,3,2,2,15,0,2,4,10,2,16,9,0,2,1,6,8,13,3,3,10,1,7,9,3,42,6,2,17,7,20,3,7,13,7,44,3,0,9,8,10,71,31,11,20,3,6,7,3,18,12,3,6,7,1,5,2,20,24,23,10,9,2,7,1,9,0
"Chirurgie générale","Mixtes",488,483,5,45,17,10,13,0,59,2,0,45,130,0,3,0,15,54,41,15,39,5,2,0,1,4,14,3,3,2,3,3,3,14,3,0,0,6,1,2,0,0,4,1,1,1,4,3,4,4,5,6,7,1,15,16,4,1,3,6,1,3,2,5,1,6,2,1,2,0,3,1,4,3,1,11,3,0,5,0,17,5,1,12,1,2,0,0,15,10,12,0,4,3,5,4,69,6,6,5,5,9,2,0,5,1,2,11,6,2,2,2,10,19,5,7,9,2,3,0,0,0
"Chirurgie générale","Salariés hospitaliers",2047,2005,42,255,83,88,69,5,194,8,7,223,479,14,10,3,92,139,127,88,163,4,12,6,1,1,44,2,9,2,3,5,6,97,29,2,3,10,5,9,3,2,33,5,2,3,22,7,5,9,33,20,42,0,58,27,38,7,38,38,6,1,4,38,1,41,6,5,6,1,31,9,34,3,6,41,1,12,17,2,133,12,5,34,35,6,6,4,61,15,102,2,9,9,10,10,222,44,22,24,5,32,3,6,12,8,1,13,23,10,5,4,14,68,30,77,22,8,10,7,14,3
"Chirurgie générale","Autres salariés",123,121,2,7,4,3,2,1,10,1,0,21,25,0,1,0,5,10,18,4,11,0,2,1,1,0,3,1,2,1,0,1,0,1,0,0,0,2,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,3,12,1,1,1,0,1,0,0,0,0,3,0,1,0,0,0,2,1,0,1,2,0,1,0,1,17,1,0,1,1,1,0,1,3,1,3,0,0,0,1,0,11,2,2,3,0,0,1,0,3,3,0,0,2,1,0,0,1,5,2,1,0,1,1,0,0,0
"Chirurgie maxillo-faciale et stomatologie","Ensemble des modes d'exercice",1137,1120,17,137,35,18,32,5,44,2,0,81,308,12,3,0,66,91,116,63,124,4,4,3,1,1,27,1,2,1,2,4,6,62,20,1,1,8,3,6,4,1,10,1,0,2,12,8,4,1,5,10,36,0,30,28,10,1,17,17,2,5,5,12,2,34,5,0,4,0,11,10,3,0,0,8,0,2,10,1,46,13,2,6,6,15,3,15,13,5,62,1,5,9,10,11,152,30,17,31,5,12,7,6,22,11,9,6,9,1,2,2,17,31,13,29,18,2,3,0,12,0
"Chirurgie maxillo-faciale et stomatologie","Libéraux exclusifs",704,691,13,91,22,10,21,3,32,2,0,41,172,9,2,0,37,72,78,35,77,3,2,2,0,0,18,1,2,0,2,3,6,36,6,0,1,6,1,5,3,0,6,0,0,2,5,7,1,0,3,9,23,0,21,16,6,1,13,14,2,5,3,7,1,13,3,0,3,0,8,8,3,0,0,6,0,1,6,1,25,6,1,6,4,14,2,9,9,4,35,1,4,7,9,8,64,21,17,23,4,2,5,5,14,9,7,5,6,0,2,1,11,21,9,18,9,2,2,0,9,0
"Chirurgie maxillo-faciale et stomatologie","Mixtes",257,254,3,27,6,6,5,1,5,0,0,25,85,2,1,0,16,10,24,17,27,1,1,1,1,0,6,0,0,1,0,1,0,16,8,0,0,2,0,0,0,1,1,1,0,0,3,0,2,1,2,1,8,0,3,7,3,0,3,0,0,0,0,4,1,14,1,0,0,0,1,0,0,0,0,1,0,0,3,0,15,5,1,0,1,1,1,3,1,0,19,0,1,1,0,0,59,5,0,5,1,4,2,0,4,0,1,0,3,0,0,1,2,6,3,5,5,0,1,0,2,0
"Chirurgie maxillo-faciale et stomatologie","Salariés hospitaliers",137,136,1,16,7,2,5,1,7,0,0,14,33,1,0,0,12,6,10,7,16,0,1,0,0,1,3,0,0,0,0,0,0,8,6,1,0,0,2,0,1,0,3,0,0,0,4,1,1,0,0,0,3,0,5,4,1,0,1,3,0,0,1,1,0,6,1,0,0,0,0,2,0,0,0,1,0,1,1,0,6,1,0,0,1,0,0,3,3,1,5,0,0,1,1,3,16,3,0,2,0,6,0,0,4,0,0,1,0,1,0,0,2,4,0,5,4,0,0,0,1,0
"Chirurgie maxillo-faciale et stomatologie","Autres salariés",39,39,0,3,0,0,1,0,0,0,0,1,18,0,0,0,1,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
"Chirurgie orthopédique et traumatologie","Ensemble des modes d'exercice",3404,3333,71,442,139,162,106,18,278,16,5,264,639,28,21,1,140,322,323,166,334,17,25,21,10,15,76,15,12,8,14,18,13,124,36,9,16,35,9,13,9,9,32,25,4,20,29,22,10,12,41,31,89,5,110,82,56,7,35,64,12,15,13,42,6,68,30,4,17,4,42,22,26,8,11,46,6,40,45,10,120,22,12,72,29,41,10,26,71,34,136,3,34,26,29,52,276,60,51,59,9,25,22,11,65,44,19,20,22,16,15,4,48,64,47,44,50,16,21,5,28,1
